target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
17_89	500	1.000	1.000	1.055	173948.696	871	0.885
17_90	500	1.000	1.000	0.942	93003.896	465	-0.021
17_91	500	1.000	1.000	1.086	206378.399	1033	1.131
17_92	500	1.000	1.000	0.942	92928.501	465	-0.021
17_93	500	1.000	1.000	0.976	111804.745	559	0.245
17_94	500	1.000	1.000	1.032	152640.427	764	0.696
17_95	500	0.877	0.877	1.003	130359.596	652	0.467
17_96	500	1.000	1.000	0.925	84509.950	423	-0.157
17_97	500	1.000	1.000	1.012	136499.052	683	0.534
17_98	500	1.000	1.000	0.948	95973.457	480	0.025
17_99	500	1.000	1.000	0.944	94055.353	471	-0.002
17_100	500	1.000	1.000	0.970	108455.112	543	0.203
17_101	500	1.000	1.000	0.920	81923.805	410	-0.202
17_102	500	1.000	1.000	0.974	111007.615	555	0.235
17_103	500	1.000	1.000	1.034	154636.101	774	0.714
17_104	500	1.000	1.000	1.027	148444.581	743	0.655
17_105	500	1.000	1.000	1.013	137641.097	689	0.547
17_106	500	1.000	1.000	0.981	115486.158	578	0.293
17_107	500	1.000	1.000	0.989	120099.639	601	0.349
17_108	500	1.000	1.000	1.052	170432.730	853	0.855
17_109	500	1.000	1.000	1.008	134170.143	671	0.508
17_110	500	1.000	1.000	0.982	115551.071	578	0.293
17_111	500	1.000	1.000	1.020	142895.520	715	0.600
17_112	500	1.000	1.000	1.012	136875.736	685	0.538
17_113	500	1.000	1.000	0.870	62415.064	312	-0.596
17_114	500	1.000	1.000	1.078	196764.730	985	1.062
17_115	500	1.000	1.000	1.047	165897.976	830	0.815
17_116	500	1.000	1.000	0.964	105034.945	525	0.154
17_117	500	1.000	1.000	1.019	142056.111	711	0.592
17_118	500	1.000	1.000	0.990	121217.668	607	0.364
17_119	500	1.000	1.000	0.932	87610.272	438	-0.107
17_120	500	1.000	1.000	0.978	113388.015	567	0.265
17_121	500	1.000	1.000	1.040	159481.302	798	0.758
17_122	500	1.000	1.000	1.001	128862.087	645	0.451
17_123	500	1.000	1.000	1.036	156601.375	784	0.733
17_124	500	1.000	1.000	1.034	154654.884	774	0.714
17_125	500	1.000	1.000	0.924	84141.135	421	-0.164
17_126	500	1.000	1.000	1.016	139731.714	699	0.567
17_127	500	1.000	1.000	0.985	117471.191	588	0.318
17_128	500	1.000	1.000	1.034	154315.229	772	0.711
17_129	500	1.000	1.000	0.989	120162.926	601	0.349
17_130	500	1.000	1.000	0.958	101161.879	506	0.101
17_131	500	0.807	0.807	0.827	49136.101	246	-0.939
17_132	500	1.000	1.000	1.041	160763.858	805	0.771
17_133	500	1.000	1.000	1.045	163976.293	821	0.799
17_134	500	1.000	1.000	0.992	122292.270	612	0.376
17_135	500	1.000	1.000	1.081	200430.934	1003	1.088
17_136	500	1.000	1.000	0.944	93931.427	470	-0.005
17_137	500	0.710	0.710	0.739	30101.987	150	-1.653
17_138	500	1.000	1.000	1.015	139229.905	697	0.563
17_139	500	1.000	1.000	0.999	126969.503	635	0.429
17_140	500	1.000	1.000	0.971	108818.658	544	0.206
17_141	500	1.000	1.000	1.050	168997.729	846	0.843
17_142	500	1.000	1.000	0.970	108512.156	543	0.203
17_143	500	1.000	1.000	1.085	204884.681	1026	1.121
17_144	500	1.000	1.000	1.014	138375.255	692	0.553
17_145	500	1.000	1.000	0.990	121151.638	606	0.361
17_146	500	1.000	1.000	0.906	76035.419	380	-0.312
17_147	500	1.000	1.000	1.011	136195.483	682	0.532
17_148	500	1.000	1.000	1.053	171512.041	858	0.863
17_149	500	1.000	1.000	0.978	113351.497	567	0.265
17_150	500	0.864	1.000	0.836	51480.137	257	-0.876
17_151	500	0.853	1.000	0.784	38552.701	193	-1.289
17_152	500	0.736	1.000	0.674	21049.907	105	-2.168
17_153	500	0.668	1.000	0.668	20357.598	101	-2.224
17_154	500	0.564	1.000	0.585	12782.538	64	-2.882
17_155	500	0.942	1.000	0.874	63613.861	318	-0.569
17_156	500	0.755	1.000	0.691	23098.925	115	-2.036
17_157	500	0.679	0.925	0.670	20578.329	103	-2.195
17_158	500	0.760	1.000	0.714	26273.599	131	-1.848
17_159	500	0.889	1.000	0.882	66470.163	332	-0.507
17_160	500	0.840	0.971	0.927	85215.059	426	-0.147
17_161	500	0.673	1.000	0.709	25506.547	127	-1.893
17_162	500	0.908	1.000	0.976	112180.309	561	0.250
17_163	500	0.901	1.000	0.870	62309.922	312	-0.596
17_164	500	0.579	1.000	0.637	17140.412	85	-2.472
17_165	500	0.969	1.000	0.966	106103.834	531	0.171
17_166	500	0.752	1.000	0.745	31040.365	155	-1.606
17_167	500	0.610	1.000	0.513	8611.816	43	-3.455
17_168	500	0.823	1.000	0.855	57396.521	287	-0.717
17_169	500	0.803	1.000	0.833	50581.052	253	-0.899
17_170	500	0.362	0.671	0.369	3859.746	19	-4.634
17_171	500	0.526	1.000	0.460	6413.879	32	-3.882
17_172	500	0.660	1.000	0.711	25757.774	128	-1.882
17_173	500	0.929	1.000	0.929	86529.208	433	-0.124
17_174	500	0.365	0.687	0.373	3957.645	19	-4.634
17_175	500	0.816	0.832	0.858	58401.251	292	-0.692
17_176	500	0.569	1.000	0.592	13341.538	66	-2.837
17_177	500	0.970	1.000	1.056	174404.447	873	0.888
17_178	500	0.887	1.000	0.867	61203.304	306	-0.624
17_179	500	0.868	1.000	0.897	72228.291	361	-0.386
17_180	500	0.758	1.000	0.807	43878.941	219	-1.107
17_181	500	0.714	1.000	0.649	18265.020	91	-2.374
17_182	500	0.733	1.000	0.815	45974.533	230	-1.036
17_183	500	0.967	1.000	0.998	126884.734	635	0.429
17_184	500	0.669	1.000	0.683	22012.585	110	-2.100
17_185	500	0.694	1.000	0.646	17965.421	89	-2.406
17_186	500	0.816	1.000	0.778	37277.568	186	-1.343
17_187	500	0.991	1.000	0.965	105235.513	527	0.160
17_188	500	0.626	0.841	0.628	16279.105	81	-2.542
17_189	500	0.618	1.000	0.529	9415.147	47	-3.327
17_190	500	0.512	1.000	0.509	8387.412	42	-3.489
17_191	500	0.799	1.000	0.800	42257.499	211	-1.161
17_192	500	0.886	1.000	0.865	60482.767	302	-0.643
17_193	500	0.947	1.000	0.967	106479.233	533	0.176
17_194	500	0.947	1.000	0.974	110580.042	553	0.229
17_195	500	0.961	1.000	0.945	94466.424	473	0.004
17_196	500	0.693	0.971	0.720	27144.145	135	-1.805
17_197	500	0.942	1.000	0.929	86395.722	432	-0.127
17_198	500	0.534	1.000	0.558	11029.881	55	-3.100
17_199	500	0.991	1.000	1.042	161965.864	811	0.782
18	500	1.000	1.000	1.016	140038.072	701	0.572
18_19	500	1.000	1.000	0.980	114299.729	572	0.278
18_20	500	1.000	1.000	0.986	118379.690	592	0.328
18_21	500	1.000	1.000	1.068	186750.799	935	0.987
18_22	500	1.000	1.000	1.010	135563.463	678	0.523
18_23	500	1.000	1.000	0.950	97153.239	486	0.043
18_24	500	1.000	1.000	1.004	131149.474	656	0.476
18_25	500	1.000	1.000	1.021	143978.575	721	0.612
18_26	500	1.000	1.000	0.993	123012.719	616	0.385
18_27	500	1.000	1.000	1.017	140639.282	704	0.578
18_28	500	1.000	1.000	0.923	83711.821	419	-0.171
18_29	500	1.000	1.000	1.061	179267.203	897	0.927
18_30	500	1.000	1.000	1.030	150889.767	755	0.679
18_31	500	1.000	1.000	1.008	133609.898	669	0.504
18_32	500	1.000	1.000	1.025	147063.423	736	0.642
18_33	500	1.000	1.000	1.036	155876.382	780	0.726
18_34	500	1.000	1.000	0.984	117335.838	587	0.315
18_35	500	1.000	1.000	1.012	136917.015	685	0.538
18_36	500	1.000	1.000	0.979	113966.046	570	0.273
18_37	500	1.000	1.000	1.042	161495.992	808	0.776
18_38	500	1.000	1.000	0.911	78248.231	391	-0.271
18_39	500	1.000	1.000	1.067	185929.715	931	0.981
18_40	500	1.000	1.000	1.044	163168.188	817	0.792
18_41	500	1.000	1.000	0.958	101343.243	507	0.104
18_42	500	0.505	0.505	0.544	10211.032	51	-3.209
18_43	500	1.000	1.000	1.016	140144.797	701	0.572
18_44	500	1.000	1.000	1.126	256906.405	1286	1.447
18_45	500	0.882	0.882	0.833	50625.935	253	-0.899
18_46	500	1.000	1.000	1.008	133620.684	669	0.504
18_47	500	0.677	0.677	0.704	24738.460	123	-1.939
18_48	500	1.000	1.000	1.018	141222.243	707	0.584
18_49	500	0.980	0.980	0.948	95747.340	479	0.022
18_50	500	1.000	1.000	0.958	101286.190	507	0.104
18_51	500	1.000	1.000	1.011	136386.103	682	0.532
18_52	500	1.000	1.000	0.953	98849.650	495	0.070
18_53	500	1.000	1.000	0.958	101199.513	506	0.101
18_54	500	1.000	1.000	1.004	131184.943	656	0.476
18_55	500	1.000	1.000	1.061	179740.220	900	0.932
18_56	500	1.000	1.000	1.058	176824.595	885	0.908
18_57	500	1.000	1.000	1.041	160605.307	804	0.769
18_58	500	1.000	1.000	0.997	125885.707	630	0.417
18_59	500	1.000	1.000	1.023	145307.682	727	0.624
18_60	500	1.000	1.000	1.115	241958.447	1211	1.360
