target_id	X0	mu_k	GI	k_obs	Xt	Reads_t	Log2fc
67_115	500	1.000	1.000	1.048	167358.509	838	0.829
67_116	500	1.000	1.000	0.996	125127.944	626	0.408
67_117	500	1.000	1.000	0.999	127098.800	636	0.431
67_118	500	1.000	1.000	0.918	81046.334	405	-0.220
67_119	500	1.000	1.000	0.919	81857.648	409	-0.206
67_120	500	1.000	1.000	0.978	113184.621	566	0.263
67_121	500	1.000	1.000	1.012	136893.298	685	0.538
67_122	500	1.000	1.000	1.025	146930.719	735	0.640
67_123	500	1.000	1.000	1.080	199320.153	998	1.081
67_124	500	1.000	1.000	0.949	96564.188	483	0.034
67_125	500	1.000	1.000	0.967	106742.555	534	0.179
67_126	500	1.000	1.000	0.947	95370.750	477	0.016
67_127	500	1.000	1.000	0.991	121756.779	609	0.369
67_128	500	0.541	0.541	0.574	12060.897	60	-2.975
67_129	500	1.000	1.000	0.974	110862.743	555	0.235
67_130	500	1.000	1.000	1.011	136215.242	682	0.532
67_131	500	1.000	1.000	0.907	76448.590	382	-0.304
67_132	500	1.000	1.000	0.982	115788.439	579	0.296
67_133	500	1.000	1.000	1.025	147071.872	736	0.642
67_134	500	1.000	1.000	0.976	112263.560	562	0.253
67_135	500	1.000	1.000	1.023	145287.858	727	0.624
67_136	500	1.000	1.000	1.016	139664.910	699	0.567
67_137	500	1.000	1.000	1.041	160599.412	804	0.769
67_138	500	1.000	1.000	0.976	112357.380	562	0.253
67_139	500	1.000	1.000	1.063	181638.938	909	0.946
67_140	500	1.000	1.000	1.012	136526.121	683	0.534
67_141	500	1.000	1.000	0.949	96307.127	482	0.031
67_142	500	1.000	1.000	0.966	105876.853	530	0.168
67_143	500	1.000	1.000	1.007	133031.876	666	0.498
67_144	500	1.000	1.000	0.968	107407.124	537	0.187
67_145	500	1.000	1.000	0.978	113414.676	567	0.265
67_146	500	1.000	1.000	1.010	135335.128	677	0.521
67_147	500	1.000	1.000	0.919	81742.426	409	-0.206
67_148	500	1.000	1.000	1.030	151147.710	756	0.680
67_149	500	1.000	1.000	0.974	110880.106	555	0.235
67_150	500	0.864	1.000	0.991	121965.308	610	0.371
67_151	500	0.853	1.000	0.905	75630.774	378	-0.320
67_152	500	0.736	1.000	0.798	41855.721	209	-1.174
67_153	500	0.668	1.000	0.634	16847.920	84	-2.489
67_154	500	0.564	1.000	0.591	13260.586	66	-2.837
67_155	500	0.942	1.000	0.942	92546.445	463	-0.027
67_156	500	0.755	1.000	0.839	52503.943	262	-0.848
67_157	500	0.734	1.000	0.771	36017.957	180	-1.390
67_158	500	0.760	1.000	0.790	39972.911	200	-1.238
67_159	500	0.889	1.000	0.919	81771.365	409	-0.206
67_160	500	0.865	1.000	0.862	59514.652	298	-0.663
67_161	500	0.673	1.000	0.821	47444.250	237	-0.993
67_162	500	0.908	1.000	0.853	56594.659	283	-0.737
67_163	500	0.901	1.000	0.944	93758.975	469	-0.008
67_164	500	0.579	1.000	0.554	10777.300	53	-3.154
67_165	500	0.969	1.000	0.969	107591.426	538	0.190
67_166	500	0.752	1.000	0.752	32428.592	162	-1.542
67_167	500	0.610	1.000	0.668	20356.439	101	-2.224
67_168	500	0.823	1.000	0.750	31935.589	159	-1.569
67_169	500	0.803	1.000	0.799	42068.909	210	-1.168
67_170	500	0.540	1.000	0.521	8967.941	44	-3.422
67_171	500	0.526	1.000	0.482	7237.962	36	-3.712
67_172	500	0.660	1.000	0.666	20072.946	100	-2.238
67_173	500	0.929	1.000	0.964	104613.447	523	0.149
67_174	500	0.531	1.000	0.424	5251.567	26	-4.181
67_175	500	0.980	1.000	0.973	109991.698	550	0.222
67_176	500	0.569	1.000	0.511	8499.978	42	-3.489
67_177	500	0.970	1.000	1.082	201475.549	1008	1.096
67_178	500	0.887	1.000	0.827	49154.248	246	-0.939
67_179	500	0.868	1.000	0.820	47203.018	236	-0.999
67_180	500	0.758	1.000	0.760	33846.526	169	-1.481
67_181	500	0.714	1.000	0.784	38711.406	193	-1.289
67_182	500	0.733	1.000	0.723	27610.811	138	-1.773
67_183	500	0.967	1.000	1.017	140780.632	705	0.580
67_184	500	0.669	1.000	0.690	22956.764	114	-2.049
67_185	500	0.694	1.000	0.635	16949.511	84	-2.489
67_186	500	0.816	1.000	0.887	68343.736	342	-0.464
67_187	500	0.991	1.000	0.892	70340.355	352	-0.422
67_188	500	0.744	1.000	0.672	20814.890	104	-2.181
67_189	500	0.618	1.000	0.637	17137.845	85	-2.472
67_190	500	0.512	1.000	0.421	5152.377	25	-4.238
67_191	500	0.799	1.000	0.687	22574.486	113	-2.062
67_192	500	0.886	1.000	0.855	57280.281	286	-0.722
67_193	500	0.947	1.000	0.991	121619.056	609	0.369
67_194	500	0.947	1.000	0.978	113449.526	568	0.268
67_195	500	0.961	1.000	1.017	140820.235	705	0.580
67_196	500	0.714	1.000	0.674	21030.818	105	-2.168
67_197	500	0.942	1.000	0.995	124383.562	622	0.399
67_198	500	0.534	1.000	0.492	7661.543	38	-3.634
67_199	500	0.991	1.000	0.958	101387.353	507	0.104
68	500	1.000	1.000	1.004	131189.384	656	0.476
68_69	500	1.000	1.000	0.986	118732.401	594	0.333
68_70	500	1.000	1.000	0.920	82091.665	411	-0.199
68_71	500	1.000	1.000	0.977	112376.303	562	0.253
68_72	500	1.000	1.000	0.964	104994.479	525	0.154
68_73	500	1.000	1.000	0.945	94217.343	471	-0.002
68_74	500	1.000	1.000	1.000	127747.076	639	0.438
68_75	500	1.000	1.000	1.000	128110.122	641	0.442
68_76	500	1.000	1.000	1.035	155837.835	780	0.726
68_77	500	1.000	1.000	0.999	127269.514	637	0.433
68_78	500	1.000	1.000	1.009	134487.022	673	0.513
68_79	500	1.000	1.000	1.057	175703.262	879	0.898
68_80	500	1.000	1.000	1.023	145739.927	729	0.628
68_81	500	1.000	1.000	1.047	165934.494	830	0.815
68_82	500	0.554	0.554	0.572	11905.208	59	-2.999
68_83	500	1.000	1.000	0.983	116389.534	582	0.303
68_84	500	1.000	1.000	0.935	89270.528	447	-0.078
68_85	500	1.000	1.000	0.971	109092.832	546	0.211
68_86	500	1.000	1.000	0.959	102228.772	511	0.115
68_87	500	1.000	1.000	0.963	104355.854	522	0.146
68_88	500	1.000	1.000	0.969	107763.088	539	0.192
68_89	500	1.000	1.000	1.043	162282.413	812	0.784
68_90	500	1.000	1.000	0.980	114320.578	572	0.278
68_91	500	1.000	1.000	0.990	120898.593	605	0.359
68_92	500	1.000	1.000	0.917	80766.175	404	-0.224
68_93	500	1.000	1.000	1.003	130210.014	652	0.467
68_94	500	1.000	1.000	1.093	213989.768	1071	1.183
68_95	500	1.000	1.000	1.017	140662.229	704	0.578
68_96	500	1.000	1.000	1.059	177092.434	886	0.909
68_97	500	1.000	1.000	0.974	110958.067	555	0.235
68_98	500	1.000	1.000	1.050	168878.988	845	0.841
68_99	500	1.000	1.000	0.976	112327.952	562	0.253
68_100	500	1.000	1.000	1.060	178129.743	892	0.919
68_101	500	0.900	0.900	0.924	84139.022	421	-0.164
68_102	500	1.000	1.000	1.065	183955.170	921	0.965
68_103	500	1.000	1.000	0.958	101404.282	507	0.104
68_104	500	0.687	0.687	0.738	29914.453	149	-1.663
68_105	500	1.000	1.000	1.028	149181.854	747	0.663
68_106	500	1.000	1.000	1.044	163739.415	819	0.796
68_107	500	1.000	1.000	1.076	195214.414	977	1.050
68_108	500	1.000	1.000	0.954	99073.428	496	0.072
68_109	500	1.000	1.000	1.029	150647.400	754	0.677
68_110	500	1.000	1.000	0.984	116849.046	585	0.311
68_111	500	1.000	1.000	0.925	84431.273	422	-0.161
68_112	500	1.000	1.000	1.048	166579.004	834	0.822
68_113	500	1.000	1.000	1.112	238738.805	1195	1.341
68_114	500	1.000	1.000	0.967	106547.585	533	0.176
68_115	500	1.000	1.000	1.011	136424.678	683	0.534
68_116	500	1.000	1.000	1.041	160325.423	802	0.766
68_117	500	1.000	1.000	1.076	195408.360	978	1.052
68_118	500	1.000	1.000	0.948	95985.115	480	0.025
68_119	500	1.000	1.000	1.096	218315.428	1093	1.212
68_120	500	1.000	1.000	1.007	132759.463	664	0.493
68_121	500	1.000	1.000	0.988	119801.803	599	0.345
68_122	500	1.000	1.000	0.970	108275.408	542	0.200
68_123	500	1.000	1.000	1.005	131551.704	658	0.480
68_124	500	1.000	1.000	0.910	77906.096	390	-0.274
68_125	500	1.000	1.000	0.980	114359.326	572	0.278
68_126	500	1.000	1.000	0.964	104578.459	523	0.149
68_127	500	1.000	1.000	0.985	117470.333	588	0.318
68_128	500	1.000	1.000	1.004	130982.942	655	0.474
68_129	500	1.000	1.000	0.969	107632.941	539	0.192
68_130	500	1.000	1.000	0.907	76612.663	383	-0.301
68_131	500	1.000	1.000	1.046	165131.033	826	0.808
68_132	500	1.000	1.000	0.983	116317.843	582	0.303
68_133	500	1.000	1.000	1.070	188271.332	942	0.998
68_134	500	1.000	1.000	0.987	119065.099	596	0.337
68_135	500	1.000	1.000	0.986	118737.549	594	0.333
68_136	500	1.000	1.000	0.990	120858.314	605	0.359
68_137	500	1.000	1.000	0.946	95020.319	475	0.010
68_138	500	1.000	1.000	1.050	168697.268	844	0.839
68_139	500	1.000	1.000	0.889	68984.120	345	-0.451
68_140	500	1.000	1.000	1.008	133577.412	668	0.502
68_141	500	1.000	1.000	0.920	81916.127	410	-0.202
68_142	500	1.000	1.000	1.059	177492.272	888	0.913
68_143	500	0.755	0.755	0.748	31634.151	158	-1.578
68_144	500	0.864	0.864	0.838	52197.252	261	-0.854
68_145	500	1.000	1.000	0.970	108430.905	543	0.203
68_146	500	1.000	1.000	1.027	149062.932	746	0.661
68_147	500	1.000	1.000	1.014	138713.880	694	0.557
68_148	500	1.000	1.000	0.943	93250.559	466	-0.018
68_149	500	1.000	1.000	0.947	95247.007	476	0.013
68_150	500	0.864	1.000	0.881	66192.651	331	-0.511
68_151	500	0.853	1.000	0.855	57279.549	286	-0.722
68_152	500	0.736	1.000	0.732	28936.249	144	-1.712
68_153	500	0.668	1.000	0.701	24331.867	121	-1.963
68_154	500	0.564	1.000	0.502	8086.505	40	-3.560
68_155	500	0.942	1.000	1.068	186600.349	934	0.986
68_156	500	0.755	1.000	0.757	33358.887	167	-1.498
68_157	500	0.734	1.000	0.815	45947.348	230	-1.036
68_158	500	0.760	1.000	0.790	40012.958	200	-1.238
68_159	500	0.882	0.992	0.917	80989.296	405	-0.220
68_160	500	0.865	1.000	0.916	80355.157	402	-0.231
68_161	500	0.673	1.000	0.662	19695.413	98	-2.267
68_162	500	0.908	1.000	0.868	61442.692	307	-0.620
68_163	500	0.549	0.609	0.596	13607.478	68	-2.794
68_164	500	0.579	1.000	0.512	8534.784	42	-3.489
68_165	500	0.969	1.000	1.000	128317.818	642	0.445
68_166	500	0.751	0.999	0.865	60501.667	302	-0.643
68_167	500	0.610	1.000	0.642	17585.026	88	-2.422
68_168	500	0.823	1.000	0.821	47546.027	238	-0.987
68_169	500	0.606	0.754	0.602	14095.550	70	-2.752
68_170	500	0.540	1.000	0.524	9130.245	45	-3.390
68_171	500	0.526	1.000	0.531	9488.301	47	-3.327
68_172	500	0.660	1.000	0.690	22948.025	114	-2.049
68_173	500	0.929	1.000	0.880	65869.072	329	-0.520
68_174	500	0.531	1.000	0.519	8880.648	44	-3.422
68_175	500	0.980	1.000	0.955	99769.947	499	0.081
68_176	500	0.569	1.000	0.582	12610.711	63	-2.904
68_177	500	0.970	1.000	0.944	93917.853	470	-0.005
68_178	500	0.887	1.000	0.854	56995.364	285	-0.727
68_179	500	0.868	1.000	0.839	52302.798	261	-0.854
68_180	500	0.758	1.000	0.724	27641.075	138	-1.773
68_181	500	0.714	1.000	0.644	17762.329	88	-2.422
68_182	500	0.733	1.000	0.761	33974.222	170	-1.472
68_183	500	0.967	1.000	0.995	124203.331	621	0.397
68_184	500	0.669	1.000	0.606	14364.587	71	-2.732
68_185	500	0.694	1.000	0.592	13296.356	66	-2.837
68_186	500	0.816	1.000	0.917	80816.239	404	-0.224
68_187	500	0.991	1.000	1.039	159259.869	797	0.757
68_188	500	0.744	1.000	0.823	48005.646	240	-0.975
68_189	500	0.618	1.000	0.621	15617.460	78	-2.596
68_190	500	0.512	1.000	0.489	7539.574	37	-3.672
68_191	500	0.799	1.000	0.932	87712.904	439	-0.104
68_192	500	0.886	1.000	0.845	54094.690	270	-0.805
68_193	500	0.947	1.000	0.975	111703.173	559	0.245
68_194	500	0.947	1.000	0.924	84038.321	420	-0.168
68_195	500	0.961	1.000	0.919	81592.827	408	-0.209
68_196	500	0.714	1.000	0.683	22011.236	110	-2.100
68_197	500	0.942	1.000	0.907	76553.295	383	-0.301
68_198	500	0.534	1.000	0.611	14791.053	74	-2.672
68_199	500	0.991	1.000	1.077	195685.956	979	1.053
69	500	1.000	1.000	0.945	94574.263	473	0.004
69_70	500	1.000	1.000	1.013	137503.657	688	0.545
69_71	500	1.000	1.000	1.006	132682.613	664	0.493
69_72	500	1.000	1.000	1.012	136795.542	685	0.538
69_73	500	1.000	1.000	1.052	170908.649	855	0.858
69_74	500	1.000	1.000	0.985	117607.960	588	0.318
69_75	500	1.000	1.000	1.057	175633.950	879	0.898
69_76	500	1.000	1.000	0.964	104757.731	524	0.152
69_77	500	1.000	1.000	0.989	120241.308	602	0.352
69_78	500	1.000	1.000	1.045	164048.431	821	0.799
69_79	500	1.000	1.000	0.986	118548.537	593	0.330
69_80	500	1.000	1.000	0.970	108249.951	542	0.200
69_81	500	1.000	1.000	1.117	244279.515	1223	1.374
69_82	500	1.000	1.000	0.986	118319.536	592	0.328
69_83	500	1.000	1.000	0.985	117730.537	589	0.320
69_84	500	1.000	1.000	0.984	117007.247	585	0.311
69_85	500	1.000	1.000	0.958	101608.777	508	0.107
69_86	500	1.000	1.000	1.096	218123.438	1092	1.211
69_87	500	1.000	1.000	1.075	194144.153	972	1.043
69_88	500	1.000	1.000	0.959	102073.552	511	0.115
69_89	500	0.649	0.649	0.685	22333.172	111	-2.087
69_90	500	1.000	1.000	0.953	98697.204	494	0.067
69_91	500	1.000	1.000	0.965	105658.225	529	0.165
69_92	500	1.000	1.000	1.146	288175.975	1443	1.613
69_93	500	1.000	1.000	1.052	170479.227	853	0.855
69_94	500	1.000	1.000	1.011	136110.050	681	0.530
69_95	500	1.000	1.000	0.981	115475.959	578	0.293
69_96	500	1.000	1.000	0.935	89342.999	447	-0.078
69_97	500	1.000	1.000	1.045	164645.955	824	0.805
69_98	500	1.000	1.000	1.022	144460.628	723	0.616
69_99	500	1.000	1.000	0.945	94570.204	473	0.004
69_100	500	1.000	1.000	1.047	165868.269	830	0.815
69_101	500	1.000	1.000	0.973	110315.657	552	0.227
69_102	500	1.000	1.000	1.029	150611.994	754	0.677
69_103	500	1.000	1.000	0.963	104388.701	522	0.146
69_104	500	1.000	1.000	0.919	81543.736	408	-0.209
69_105	500	1.000	1.000	0.947	95598.009	478	0.019
69_106	500	1.000	1.000	1.046	165175.811	827	0.810
69_107	500	1.000	1.000	1.009	134395.728	673	0.513
69_108	500	1.000	1.000	0.998	126542.137	633	0.424
69_109	500	1.000	1.000	0.928	85989.567	430	-0.134
69_110	500	1.000	1.000	1.011	136053.779	681	0.530
69_111	500	1.000	1.000	0.937	90402.279	452	-0.062
69_112	500	1.000	1.000	0.952	98025.449	490	0.055
69_113	500	1.000	1.000	1.097	219614.559	1099	1.220
69_114	500	1.000	1.000	1.076	195425.202	978	1.052
69_115	500	1.000	1.000	1.061	179652.451	899	0.930
69_116	500	1.000	1.000	0.993	123221.020	617	0.387
69_117	500	1.000	1.000	1.081	200197.737	1002	1.087
69_118	500	1.000	1.000	1.059	177112.054	886	0.909
69_119	500	1.000	1.000	1.016	140034.704	701	0.572
69_120	500	1.000	1.000	0.957	100903.957	505	0.098
69_121	500	1.000	1.000	1.041	160783.861	805	0.771
69_122	500	1.000	1.000	0.992	122107.367	611	0.373
69_123	500	1.000	1.000	1.038	158067.717	791	0.746
69_124	500	1.000	1.000	1.050	168514.138	843	0.838
69_125	500	0.872	0.872	0.903	74570.023	373	-0.339
69_126	500	1.000	1.000	1.077	196013.810	981	1.056
69_127	500	1.000	1.000	0.988	120072.325	601	0.349
69_128	500	1.000	1.000	0.955	99992.160	500	0.084
69_129	500	1.000	1.000	1.022	144628.403	724	0.618
69_130	500	1.000	1.000	0.992	122232.501	612	0.376
69_131	500	1.000	1.000	1.020	142672.296	714	0.598
69_132	500	1.000	1.000	1.008	133952.502	670	0.506
69_133	500	1.000	1.000	0.941	92413.989	462	-0.030
69_134	500	1.000	1.000	1.038	157628.091	789	0.742
69_135	500	0.519	0.519	0.490	7581.904	37	-3.672
69_136	500	1.000	1.000	1.033	154024.072	771	0.709
69_137	500	1.000	1.000	1.082	202031.409	1011	1.100
69_138	500	1.000	1.000	1.028	149311.357	747	0.663
69_139	500	1.000	1.000	0.875	64042.947	320	-0.560
69_140	500	1.000	1.000	1.023	145445.028	728	0.626
69_141	500	1.000	1.000	1.120	249138.643	1247	1.402
69_142	500	1.000	1.000	1.012	137001.578	686	0.540
69_143	500	1.000	1.000	0.895	71527.838	358	-0.398
69_144	500	1.000	1.000	1.016	139822.130	700	0.569
69_145	500	1.000	1.000	0.992	122597.433	613	0.378
69_146	500	1.000	1.000	0.923	83632.238	418	-0.174
69_147	500	1.000	1.000	1.066	184550.878	924	0.970
69_148	500	1.000	1.000	0.958	101438.200	507	0.104
69_149	500	1.000	1.000	0.997	125732.937	629	0.415
69_150	500	0.864	1.000	0.845	54319.965	272	-0.794
69_151	500	0.853	1.000	0.862	59560.396	298	-0.663
69_152	500	0.736	1.000	0.773	36436.535	182	-1.374
69_153	500	0.668	1.000	0.732	29007.591	145	-1.702
69_154	500	0.564	1.000	0.534	9680.994	48	-3.297
69_155	500	0.942	1.000	0.918	81105.945	406	-0.216
69_156	500	0.755	1.000	0.708	25289.421	126	-1.904
69_157	500	0.734	1.000	0.726	27969.541	140	-1.752
69_158	500	0.760	1.000	0.761	33994.113	170	-1.472
69_159	500	0.889	1.000	0.973	110214.372	551	0.224
69_160	500	0.865	1.000	0.879	65479.656	327	-0.529
69_161	500	0.673	1.000	0.649	18266.529	91	-2.374
69_162	500	0.908	1.000	0.871	62593.541	313	-0.592
69_163	500	0.901	1.000	0.886	67842.546	339	-0.477
69_164	500	0.579	1.000	0.529	9400.379	47	-3.327
69_165	500	0.969	1.000	0.935	89256.881	446	-0.081
69_166	500	0.752	1.000	0.660	19453.428	97	-2.282
69_167	500	0.610	1.000	0.656	19031.938	95	-2.312
69_168	500	0.823	1.000	0.778	37315.387	186	-1.343
69_169	500	0.803	1.000	0.829	49473.362	247	-0.933
69_170	500	0.540	1.000	0.563	11347.672	56	-3.074
69_171	500	0.526	1.000	0.492	7642.823	38	-3.634
69_172	500	0.660	1.000	0.668	20360.718	101	-2.224
69_173	500	0.929	1.000	1.048	167046.143	836	0.826
69_174	500	0.531	1.000	0.528	9362.561	46	-3.358
69_175	500	0.980	1.000	0.972	109617.634	548	0.216
69_176	500	0.569	1.000	0.578	12314.499	61	-2.951
69_177	500	0.970	1.000	0.994	123545.642	618	0.390
69_178	500	0.887	1.000	0.965	105341.993	527	0.160
69_179	500	0.868	1.000	0.840	52848.339	264	-0.837
69_180	500	0.758	1.000	0.790	39983.681	200	-1.238
69_181	500	0.714	1.000	0.792	40444.613	202	-1.224
69_182	500	0.733	1.000	0.710	25578.005	128	-1.882
69_183	500	0.967	1.000	0.957	100955.120	505	0.098
69_184	500	0.669	1.000	0.727	28216.313	141	-1.742
69_185	500	0.694	1.000	0.632	16628.445	83	-2.507
69_186	500	0.816	1.000	0.785	38882.290	194	-1.282
69_187	500	0.991	1.000	0.920	82244.951	411	-0.199
69_188	500	0.744	1.000	0.815	45911.501	229	-1.043
69_189	500	0.618	1.000	0.685	22302.437	111	-2.087
69_190	500	0.512	1.000	0.525	9171.376	45	-3.390
69_191	500	0.799	1.000	0.824	48285.435	241	-0.969
69_192	500	0.886	1.000	0.911	78317.479	392	-0.267
69_193	500	0.947	1.000	1.047	166007.714	831	0.817
69_194	500	0.947	1.000	0.990	121221.786	607	0.364
69_195	500	0.961	1.000	0.951	97432.280	487	0.046
69_196	500	0.714	1.000	0.733	29065.545	145	-1.702
69_197	500	0.942	1.000	0.979	113757.744	569	0.271
69_198	500	0.534	1.000	0.517	8805.627	44	-3.422
69_199	500	0.991	1.000	0.882	66437.519	332	-0.507
70	500	1.000	1.000	1.053	171744.109	860	0.866
70_71	500	1.000	1.000	0.908	76736.674	384	-0.297
70_72	500	1.000	1.000	0.986	118180.809	591	0.325
70_73	500	1.000	1.000	1.025	146885.955	735	0.640
70_74	500	1.000	1.000	1.054	172501.413	863	0.871
70_75	500	1.000	1.000	0.972	109475.086	548	0.216
70_76	500	1.000	1.000	0.936	89843.128	449	-0.071
70_77	500	1.000	1.000	1.045	163967.089	821	0.799
70_78	500	1.000	1.000	1.025	147425.402	738	0.646
70_79	500	1.000	1.000	0.943	93493.431	468	-0.011
70_80	500	1.000	1.000	0.962	103768.090	519	0.138
70_81	500	1.000	1.000	1.085	204800.651	1025	1.120
70_82	500	1.000	1.000	1.044	163309.539	817	0.792
70_83	500	1.000	1.000	1.023	145404.898	728	0.626
70_84	500	1.000	1.000	0.991	121640.188	609	0.369
70_85	500	1.000	1.000	1.049	168425.338	843	0.838
70_86	500	1.000	1.000	0.925	84554.417	423	-0.157
70_87	500	1.000	1.000	1.012	137160.868	686	0.540
70_88	500	1.000	1.000	0.974	110644.501	554	0.232
70_89	500	1.000	1.000	0.982	115582.120	578	0.293
70_90	500	1.000	1.000	1.089	210027.097	1051	1.156
70_91	500	0.707	0.707	0.754	32641.021	163	-1.533
70_92	500	1.000	1.000	1.007	133410.809	668	0.502
70_93	500	1.000	1.000	1.106	230365.484	1153	1.289
70_94	500	1.000	1.000	1.056	174611.415	874	0.890
70_95	500	1.000	1.000	1.047	165996.495	831	0.817
70_96	500	1.000	1.000	0.992	122439.541	613	0.378
70_97	500	1.000	1.000	0.966	106240.056	532	0.174
70_98	500	1.000	1.000	0.989	120678.889	604	0.357
70_99	500	1.000	1.000	0.952	98298.035	492	0.061
70_100	500	1.000	1.000	1.055	174008.603	871	0.885
70_101	500	1.000	1.000	0.983	116370.311	582	0.303
70_102	500	1.000	1.000	0.966	105723.683	529	0.165
70_103	500	1.000	1.000	1.072	190372.608	953	1.015
70_104	500	1.000	1.000	0.968	107012.771	535	0.182
70_105	500	1.000	1.000	0.947	95258.148	477	0.016
70_106	500	1.000	1.000	0.985	117778.159	589	0.320
70_107	500	1.000	1.000	1.081	200639.809	1004	1.090
70_108	500	1.000	1.000	1.033	153487.780	768	0.703
70_109	500	1.000	1.000	1.001	129060.168	646	0.454
70_110	500	1.000	1.000	1.041	160282.857	802	0.766
70_111	500	1.000	1.000	0.975	111636.270	559	0.245
70_112	500	1.000	1.000	1.092	213663.877	1069	1.180
70_113	500	1.000	1.000	0.883	66959.160	335	-0.494
70_114	500	0.863	0.863	0.873	63213.922	316	-0.578
70_115	500	1.000	1.000	0.994	123902.611	620	0.394
70_116	500	1.000	1.000	1.052	170794.892	855	0.858
70_117	500	1.000	1.000	1.065	183640.047	919	0.962
70_118	500	1.000	1.000	1.043	162232.508	812	0.784
70_119	500	1.000	1.000	0.984	117408.554	587	0.315
70_120	500	1.000	1.000	0.955	99587.503	498	0.078
70_121	500	1.000	1.000	1.041	160541.796	803	0.768
70_122	500	1.000	1.000	0.985	117972.840	590	0.323
70_123	500	1.000	1.000	1.019	142242.357	712	0.594
70_124	500	1.000	1.000	1.014	138652.022	694	0.557
70_125	500	1.000	1.000	0.996	125272.354	627	0.411
70_126	500	1.000	1.000	1.034	154696.374	774	0.714
70_127	500	1.000	1.000	0.981	115143.098	576	0.288
70_128	500	1.000	1.000	1.026	147749.747	739	0.648
70_129	500	1.000	1.000	1.006	132532.433	663	0.491
70_130	500	1.000	1.000	0.959	102045.228	511	0.115
70_131	500	1.000	1.000	1.006	132270.112	662	0.489
70_132	500	1.000	1.000	0.990	121057.617	606	0.361
70_133	500	0.612	0.612	0.616	15186.004	76	-2.634
70_134	500	1.000	1.000	0.991	121733.005	609	0.369
70_135	500	1.000	1.000	0.992	122663.482	614	0.380
70_136	500	1.000	1.000	1.018	141353.567	707	0.584
70_137	500	1.000	1.000	0.923	83374.965	417	-0.178
70_138	500	1.000	1.000	0.931	87137.587	436	-0.114
70_139	500	1.000	1.000	0.999	127131.200	636	0.431
70_140	500	1.000	1.000	0.992	122560.152	613	0.378
70_141	500	1.000	1.000	0.993	123387.584	617	0.387
70_142	500	1.000	1.000	1.034	154485.657	773	0.713
70_143	500	1.000	1.000	1.006	132603.803	664	0.493
70_144	500	1.000	1.000	0.980	114285.726	572	0.278
70_145	500	1.000	1.000	0.893	70745.007	354	-0.414
70_146	500	1.000	1.000	1.002	129308.303	647	0.456
70_147	500	1.000	1.000	1.049	168338.931	843	0.838
70_148	500	1.000	1.000	1.007	132895.466	665	0.495
70_149	500	1.000	1.000	1.055	173283.822	867	0.878
70_150	500	0.864	1.000	0.882	66672.756	333	-0.502
70_151	500	0.853	1.000	0.924	83869.378	420	-0.168
70_152	500	0.736	1.000	0.704	24819.806	124	-1.928
70_153	500	0.668	1.000	0.664	19841.557	99	-2.252
70_154	500	0.564	1.000	0.537	9838.170	49	-3.267
70_155	500	0.942	1.000	0.887	68319.272	342	-0.464
70_156	500	0.755	1.000	0.728	28346.171	141	-1.742
70_157	500	0.734	1.000	0.671	20692.885	103	-2.195
70_158	500	0.760	1.000	0.764	34493.841	172	-1.455
70_159	500	0.889	1.000	0.869	62062.324	310	-0.606
70_160	500	0.865	1.000	0.898	72902.580	365	-0.370
70_161	500	0.673	1.000	0.703	24704.068	123	-1.939
70_162	500	0.908	1.000	0.892	70383.020	352	-0.422
70_163	500	0.901	1.000	0.952	97935.764	490	0.055
70_164	500	0.579	1.000	0.520	8959.414	44	-3.422
70_165	500	0.969	1.000	0.946	94944.559	475	0.010
70_166	500	0.752	1.000	0.733	29174.554	146	-1.692
70_167	500	0.610	1.000	0.624	15937.421	79	-2.578
70_168	500	0.823	1.000	0.804	43099.632	215	-1.134
70_169	500	0.803	1.000	0.804	43254.929	216	-1.127
70_170	500	0.540	1.000	0.537	9829.522	49	-3.267
70_171	500	0.526	1.000	0.499	7942.920	39	-3.596
70_172	500	0.660	1.000	0.642	17608.471	88	-2.422
70_173	500	0.929	1.000	0.807	43982.350	220	-1.100
70_174	500	0.531	1.000	0.409	4823.821	24	-4.297
70_175	500	0.980	1.000	0.957	100738.230	504	0.096
70_176	500	0.569	1.000	0.600	13943.625	69	-2.773
70_177	500	0.970	1.000	0.971	108871.652	545	0.208
70_178	500	0.887	1.000	0.904	75217.343	376	-0.327
70_179	500	0.868	1.000	0.777	37132.701	185	-1.350
70_180	500	0.758	1.000	0.774	36485.965	182	-1.374
70_181	500	0.714	1.000	0.704	24784.389	124	-1.928
70_182	500	0.733	1.000	0.724	27754.856	138	-1.773
70_183	500	0.967	1.000	0.942	92909.385	465	-0.021
70_184	500	0.669	1.000	0.735	29416.103	147	-1.682
70_185	500	0.694	1.000	0.730	28667.095	143	-1.722
70_186	500	0.816	1.000	0.803	42901.105	214	-1.140
70_187	500	0.991	1.000	0.924	84207.467	421	-0.164
70_188	500	0.744	1.000	0.718	26770.494	134	-1.816
70_189	500	0.618	1.000	0.628	16274.643	81	-2.542
70_190	500	0.512	1.000	0.489	7532.428	37	-3.672
70_191	500	0.799	1.000	0.856	57665.771	288	-0.712
70_192	500	0.886	1.000	0.827	49059.526	245	-0.945
70_193	500	0.947	1.000	0.890	69435.128	347	-0.443
70_194	500	0.947	1.000	0.989	120743.769	604	0.357
70_195	500	0.961	1.000	1.003	130433.024	653	0.469
